case_id,case_family,changed_parameter,changed_value,propulsion_case,mission_fuel_kg,fuel_delta_vs_baseline_pct,estimated_mtow_kg,mtow_margin_to_upper_kg,min_thrust_margin_N,min_thrust_margin_ratio,unmet_electric_load_Wh,takeoff_proxy_index,landing_proxy_index,constraint_count,conclusion_status
V05-0001_baseline,baseline,baseline,baseline,baseline_fixed_cycle_turbofan,13712.666393267995,0.0,90714.9911824971,4285.008817502894,-39897.2915536737,-0.7488197179718766,0.0,7857.667309022469,1291.9393037068376,4,rejected_low_thrust_margin
V05-0001_adaptive,baseline,baseline,baseline,adaptive_cycle_turbofan,11946.349527666916,-12.880914732004436,88948.72153967943,6051.2784603205655,-39823.36356221416,-0.7484707132331708,0.0,7230.174613347759,1287.753860168884,4,rejected_low_thrust_margin
V05-0001_hybrid,baseline,baseline,baseline,adaptive_cycle_plus_hybrid_electric,12443.225045810233,-9.257436234873857,93643.22504581024,1356.7749541897647,-41330.10106467904,-0.7553975549654726,287117.0432304107,9405.570797792094,1347.7497482992721,7,rejected_low_thrust_margin
V05-0002_baseline,one_at_a_time,sea_level_static_thrust_N_per_engine,130000.0,baseline_fixed_cycle_turbofan,15315.562694375261,11.689165732888986,92315.56269437526,2684.4373056247423,-38233.538181132215,-0.7164925913722127,0.0,7197.7355379999035,1279.0710468135142,4,rejected_low_thrust_margin
V05-0002_adaptive,one_at_a_time,sea_level_static_thrust_N_per_engine,130000.0,adaptive_cycle_turbofan,13359.445781786544,-2.5758711059641803,90363.51473415192,4636.485265848081,-38152.16857649371,-0.7160596225989612,0.0,6600.322684893922,1274.5188525720864,3,rejected_low_thrust_margin
V05-0002_hybrid,one_at_a_time,sea_level_static_thrust_N_per_engine,130000.0,adaptive_cycle_plus_hybrid_electric,13762.694419390009,0.36483076804504305,94965.58673582315,34.41326417685195,-39660.810574126815,-0.723878009284204,287117.0432304107,8296.612644549294,1333.9537608800517,6,rejected_low_thrust_margin
V05-0003_baseline,one_at_a_time,sea_level_static_thrust_N_per_engine,150000.0,baseline_fixed_cycle_turbofan,16033.201568747372,16.922567128291004,93037.92261159327,1962.0773884067312,-35981.59780710242,-0.6733384212630764,0.0,6335.112212182915,1260.68214736809,3,rejected_low_thrust_margin
V05-0003_adaptive,one_at_a_time,sea_level_static_thrust_N_per_engine,150000.0,adaptive_cycle_turbofan,13920.440488087876,1.5151983491838168,90924.2801660339,4075.719833966097,-35889.251551345245,-0.6727729357818538,0.0,5790.628765360487,1255.6004881010754,3,rejected_low_thrust_margin
V05-0003_hybrid,one_at_a_time,sea_level_static_thrust_N_per_engine,150000.0,adaptive_cycle_plus_hybrid_electric,14319.725670296619,4.426996614798779,95524.41624065867,-524.4162406586693,-37401.987996387536,-0.6817963832151975,287117.0432304107,7055.496343962952,1314.518907735203,5,rejected_low_thrust_margin
V05-0004_baseline,one_at_a_time,cruise_tsfc_multiplier,0.9,baseline_fixed_cycle_turbofan,12644.550706841841,-7.789263267941291,89647.14441737915,5352.855582620847,-39860.904733480274,-0.7486480614924939,0.0,7673.6804145115175,1290.5162720599526,4,rejected_low_thrust_margin
V05-0004_adaptive,one_at_a_time,cruise_tsfc_multiplier,0.9,adaptive_cycle_turbofan,11035.244061279376,-19.525176615563655,88037.80487777053,6962.195122229474,-39792.38123827279,-0.7483241610176009,0.0,7082.778394763101,1286.5395929804165,4,rejected_low_thrust_margin
V05-0004_hybrid,one_at_a_time,cruise_tsfc_multiplier,0.9,adaptive_cycle_plus_hybrid_electric,11545.904083365946,-15.801174241107368,92745.90408336595,2254.095916634047,-41297.75191748103,-0.7552528479486347,287117.0432304107,9226.101948461688,1346.5925182941878,7,rejected_low_thrust_margin
V05-0005_baseline,one_at_a_time,cruise_tsfc_multiplier,1.1,baseline_fixed_cycle_turbofan,14780.927108874086,7.790320897258436,91782.97604475141,3217.0239552485873,-39933.728111399294,-0.7489913743102656,0.0,8043.858035521155,1293.3624254358097,4,rejected_low_thrust_margin
V05-0005_adaptive,one_at_a_time,cruise_tsfc_multiplier,1.1,adaptive_cycle_turbofan,12857.552538443557,-6.235941503282264,89859.73147202033,5140.2685279796715,-39854.38219237438,-0.7486172663071635,0.0,7379.104098463115,1288.9681966306018,4,rejected_low_thrust_margin
V05-0005_hybrid,one_at_a_time,cruise_tsfc_multiplier,1.1,adaptive_cycle_plus_hybrid_electric,13340.54600825452,-2.7136982286403577,94540.54600825452,459.4539917454822,-41362.484843241036,-0.7555422456084822,287117.0432304107,9586.768413802614,1348.9069848436504,7,rejected_low_thrust_margin
V05-0006_baseline,one_at_a_time,cruise_ld,13.0,baseline_fixed_cycle_turbofan,13712.666393267995,0.0,90714.9911824971,4285.008817502894,-39897.2915536737,-0.7488197179718766,0.0,7857.667309022469,1291.9393037068376,4,rejected_low_thrust_margin
V05-0006_adaptive,one_at_a_time,cruise_ld,13.0,adaptive_cycle_turbofan,11946.349527666916,-12.880914732004436,88948.72153967943,6051.2784603205655,-39823.36356221416,-0.7484707132331708,0.0,7230.174613347759,1287.753860168884,4,rejected_low_thrust_margin
V05-0006_hybrid,one_at_a_time,cruise_ld,13.0,adaptive_cycle_plus_hybrid_electric,12443.225045810233,-9.257436234873857,93643.22504581024,1356.7749541897647,-41330.10106467904,-0.7553975549654726,287117.0432304107,9405.570797792094,1347.7497482992721,7,rejected_low_thrust_margin
V05-0007_baseline,one_at_a_time,cruise_ld,15.0,baseline_fixed_cycle_turbofan,13712.666393267995,0.0,90714.9911824971,4285.008817502894,-39897.2915536737,-0.7488197179718766,0.0,7857.667309022469,1291.9393037068376,4,rejected_low_thrust_margin
V05-0007_adaptive,one_at_a_time,cruise_ld,15.0,adaptive_cycle_turbofan,11946.349527666916,-12.880914732004436,88948.72153967943,6051.2784603205655,-39823.36356221416,-0.7484707132331708,0.0,7230.174613347759,1287.753860168884,4,rejected_low_thrust_margin
V05-0007_hybrid,one_at_a_time,cruise_ld,15.0,adaptive_cycle_plus_hybrid_electric,12443.225045810233,-9.257436234873857,93643.22504581024,1356.7749541897647,-41330.10106467904,-0.7553975549654726,287117.0432304107,9405.570797792094,1347.7497482992721,7,rejected_low_thrust_margin
V05-0008_baseline,one_at_a_time,cruise_ld,17.0,baseline_fixed_cycle_turbofan,13124.771727492087,-4.287238155699062,90134.72739167418,4865.272608325817,-39884.83360130622,-0.7487609734159075,0.0,7757.419144509979,1291.2911036984156,3,rejected_low_thrust_margin
V05-0008_adaptive,one_at_a_time,cruise_ld,17.0,adaptive_cycle_turbofan,11286.125642897807,-17.69561572329549,88294.5989699087,6705.401030091307,-39808.55751455427,-0.7484006991435841,0.0,7124.17682784773,1286.9815654947652,3,rejected_low_thrust_margin
V05-0008_hybrid,one_at_a_time,cruise_ld,17.0,adaptive_cycle_plus_hybrid_electric,12233.17925631098,-10.789200980513499,93451.19276976101,1548.807230238992,-41330.9960986534,-0.7554015562765636,287117.0432304107,9367.017950173687,1347.7924830959744,6,rejected_low_thrust_margin
V05-0009_baseline,one_at_a_time,cruise_ld,18.0,baseline_fixed_cycle_turbofan,12517.408756691468,-8.716449465753202,89531.42790349334,5468.5720965066575,-39870.64499366417,-0.7486940346050793,0.0,7653.873689161607,1290.5525017063028,3,rejected_low_thrust_margin
